,Tanggal,Harga Penutupan,Prediksi,Probabilitas,Benar,Harga Minggu Depan
34,2019-02-04,3462.8,POSITIF,73.39%,✓,3631.8
41,2019-02-11,3631.8,POSITIF,62.55%,✓,3896
48,2019-02-18,3896,POSITIF,56.12%,✗,3833.7
55,2019-02-25,3833.7,POSITIF,71.31%,✗,3715.9
62,2019-03-04,3715.9,POSITIF,74.04%,✓,3870.3
69,2019-03-11,3870.3,POSITIF,74.04%,✓,3990.2
76,2019-03-18,3990.2,POSITIF,67.52%,✗,3937
83,2019-03-25,3937,POSITIF,74.04%,✓,4145.1
90,2019-04-01,4145.1,POSITIF,71.66%,✓,5245.2
97,2019-04-08,5245.2,POSITIF,63.84%,✗,5032.3
104,2019-04-15,5032.3,POSITIF,72.92%,✓,5346.7
111,2019-04-22,5346.7,POSITIF,70.48%,✗,5235
118,2019-04-29,5235,POSITIF,74.04%,✓,5745.1
125,2019-05-06,5745.1,POSITIF,70.48%,✓,7806
132,2019-05-13,7806,POSITIF,57.30%,✓,7965.3
139,2019-05-20,7965.3,POSITIF,68.64%,✓,8760.1
146,2019-05-27,8760.1,POSITIF,51.62%,✗,8124.8
153,2019-06-03,8124.8,NEGATIF,47.00%,✓,7987.8
160,2019-06-10,7987.8,POSITIF,70.60%,✓,9318.8
167,2019-06-17,9318.8,NEGATIF,48.78%,✗,11046.4
174,2019-06-24,11046.4,NEGATIF,45.94%,✓,10616.6
181,2019-07-01,10616.6,NEGATIF,45.48%,✗,12252.6
188,2019-07-08,12252.6,NEGATIF,45.37%,✓,10845.9
195,2019-07-15,10845.9,NEGATIF,45.37%,✓,10412.5
202,2019-07-22,10412.5,NEGATIF,45.37%,✓,9580.9
209,2019-07-29,9580.9,NEGATIF,45.37%,✗,11816.8
216,2019-08-05,11816.8,NEGATIF,45.37%,✓,11394.2
223,2019-08-12,11394.2,NEGATIF,45.37%,✓,10910.7
230,2019-08-19,10910.7,NEGATIF,44.80%,✓,10371.8
237,2019-08-26,10371.8,NEGATIF,44.80%,✓,10348.8
244,2019-09-02,10348.8,NEGATIF,46.35%,✓,10309
251,2019-09-09,10309,NEGATIF,46.35%,✓,10255.5
258,2019-09-16,10255.5,NEGATIF,47.56%,✓,9702.2
265,2019-09-23,9702.2,POSITIF,54.20%,✗,8284.3
272,2019-09-30,8284.3,NEGATIF,47.56%,✓,8198.6
279,2019-10-07,8198.6,POSITIF,51.11%,✓,8353.3
286,2019-10-14,8353.3,NEGATIF,46.63%,✓,8208.2
293,2019-10-21,8208.2,POSITIF,69.19%,✓,9207.2
300,2019-10-28,9207.2,NEGATIF,49.67%,✗,9396.4
307,2019-11-04,9396.4,NEGATIF,45.46%,✓,8736.9
314,2019-11-11,8736.9,NEGATIF,45.46%,✓,8208.4
321,2019-11-18,8208.4,NEGATIF,45.46%,✓,7115.6
328,2019-11-25,7115.6,POSITIF,74.36%,✓,7298.2
335,2019-12-02,7298.2,NEGATIF,44.55%,✗,7355.8
342,2019-12-09,7355.8,NEGATIF,44.12%,✓,6903.5
349,2019-12-16,6903.5,POSITIF,71.76%,✓,7322.8
356,2019-12-23,7322.8,NEGATIF,44.26%,✓,7261.8
363,2019-12-30,7261.8,POSITIF,73.61%,✓,7759.1
370,2020-01-06,7759.1,POSITIF,66.48%,✓,8111.4
377,2020-01-13,8111.4,POSITIF,74.14%,✓,8641.9
384,2020-01-20,8641.9,POSITIF,55.86%,✓,8866.6
391,2020-01-27,8866.6,POSITIF,55.13%,✓,9296.6
398,2020-02-03,9296.6,POSITIF,51.28%,✓,9854.1
405,2020-02-10,9854.1,NEGATIF,45.37%,✓,9701.4
412,2020-02-17,9701.4,NEGATIF,45.37%,✓,9662.7
419,2020-02-24,9662.7,NEGATIF,45.37%,✓,8904.8
426,2020-03-02,8904.8,NEGATIF,45.37%,✓,7933
433,2020-03-09,7933,NEGATIF,45.37%,✓,5030
440,2020-03-16,5030,POSITIF,74.04%,✓,6468.9
447,2020-03-23,6468.9,POSITIF,66.84%,✗,6391
454,2020-03-30,6391,POSITIF,73.71%,✓,7332.3
461,2020-04-06,7332.3,POSITIF,52.22%,✗,6841.3
468,2020-04-13,6841.3,POSITIF,72.58%,✗,6833.5
475,2020-04-20,6833.5,POSITIF,74.04%,✓,7766
482,2020-04-27,7766,POSITIF,65.33%,✓,8874.7
489,2020-05-04,8874.7,NEGATIF,47.92%,✓,8579.8
496,2020-05-11,8579.8,NEGATIF,49.96%,✗,9730.7
503,2020-05-18,9730.7,NEGATIF,45.37%,✓,8898.2
510,2020-05-25,8898.2,NEGATIF,45.37%,✗,10189.3
517,2020-06-01,10189.3,NEGATIF,45.37%,✓,9777.9
524,2020-06-08,9777.9,NEGATIF,45.37%,✓,9425.4
531,2020-06-15,9425.4,NEGATIF,45.37%,✗,9683.7
538,2020-06-22,9683.7,NEGATIF,45.37%,✓,9185.4
545,2020-06-29,9185.4,NEGATIF,45.37%,✗,9339
552,2020-07-06,9339,NEGATIF,46.57%,✓,9243.6
559,2020-07-13,9243.6,NEGATIF,46.57%,✓,9162.4
566,2020-07-20,9162.4,POSITIF,65.29%,✓,11022.8
573,2020-07-27,11022.8,POSITIF,70.34%,✓,11224.4
580,2020-08-03,11224.4,NEGATIF,48.61%,✗,11889.2
587,2020-08-10,11889.2,NEGATIF,46.57%,✗,12282.6
594,2020-08-17,12282.6,NEGATIF,44.80%,✓,11753.5
601,2020-08-24,11753.5,NEGATIF,44.80%,✓,11644.2
608,2020-08-31,11644.2,NEGATIF,46.35%,✓,10376.9
615,2020-09-07,10376.9,NEGATIF,46.35%,✗,10675.3
622,2020-09-14,10675.3,NEGATIF,48.53%,✓,10416.8
629,2020-09-21,10416.8,NEGATIF,48.53%,✗,10693.2
636,2020-09-28,10693.2,NEGATIF,48.53%,✗,10789.5
643,2020-10-05,10789.5,NEGATIF,48.81%,✗,11533.9
650,2020-10-12,11533.9,POSITIF,69.26%,✓,11753.4
657,2020-10-19,11753.4,POSITIF,69.26%,✓,13061.6
664,2020-10-26,13061.6,POSITIF,70.07%,✓,13561.4
671,2020-11-02,13561.4,POSITIF,70.07%,✓,15327.2
678,2020-11-09,15327.2,POSITIF,68.79%,✓,16715.8
685,2020-11-16,16715.8,POSITIF,69.35%,✓,18379.6
692,2020-11-23,18379.6,POSITIF,57.66%,✓,19698.1
699,2020-11-30,19698.1,POSITIF,54.92%,✗,19170.7
706,2020-12-07,19170.7,POSITIF,54.92%,✓,19273.8
713,2020-12-14,19273.8,POSITIF,54.81%,✓,22728.5
720,2020-12-21,22728.5,POSITIF,56.09%,✓,27057.8
727,2020-12-28,27057.8,POSITIF,57.66%,✓,32022.6
734,2021-01-04,32022.6,POSITIF,59.53%,✓,35544.3
741,2021-01-11,35544.3,POSITIF,50.69%,✓,36613.2
748,2021-01-18,36613.2,NEGATIF,49.51%,✓,32252.3
755,2021-01-25,32252.3,POSITIF,59.52%,✓,33515.7
762,2021-02-01,33515.7,POSITIF,56.72%,✓,46395.7
769,2021-02-08,46395.7,POSITIF,62.05%,✓,47936.3
776,2021-02-15,47936.3,POSITIF,55.24%,✓,54111.8
783,2021-02-22,54111.8,POSITIF,54.01%,✗,49595.5
790,2021-03-01,49595.5,POSITIF,55.22%,✓,52311
797,2021-03-08,52311,POSITIF,52.47%,✓,55791.3
804,2021-03-15,55791.3,POSITIF,52.47%,✗,54158.3
811,2021-03-22,54158.3,POSITIF,52.47%,✓,57616.2
818,2021-03-29,57616.2,POSITIF,52.47%,✓,58993.4
825,2021-04-05,58993.4,POSITIF,52.47%,✓,59863.8
832,2021-04-12,59863.8,POSITIF,52.47%,✗,55646.1
839,2021-04-19,55646.1,POSITIF,52.47%,✗,54020.5
846,2021-04-26,54020.5,POSITIF,53.55%,✓,57169.8
853,2021-05-03,57169.8,POSITIF,52.37%,✗,55848.9
860,2021-05-10,55848.9,POSITIF,52.37%,✗,43541.3
867,2021-05-17,43541.3,POSITIF,52.14%,✗,38750.6
874,2021-05-24,38750.6,POSITIF,51.92%,✗,37298.6
881,2021-05-31,37298.6,POSITIF,52.37%,✗,33578
