,Tanggal,Harga Penutupan,Prediksi,Probabilitas,Benar,Harga Minggu Depan
30,2019-01-31,3437.2,NEGATIF,44.87%,✓,3397.7
37,2019-02-07,3397.7,POSITIF,77.07%,✓,3592.6
44,2019-02-14,3592.6,POSITIF,97.77%,✓,3936.6
51,2019-02-21,3936.6,NEGATIF,7.77%,✓,3816.6
58,2019-02-28,3816.6,POSITIF,98.64%,✓,3875.1
65,2019-03-07,3875.1,POSITIF,99.66%,✓,3879
72,2019-03-14,3879,POSITIF,98.91%,✓,3982.2
79,2019-03-21,3982.2,POSITIF,97.94%,✓,4025.6
86,2019-03-28,4025.6,POSITIF,98.83%,✓,4902.4
93,2019-04-04,4902.4,POSITIF,88.05%,✓,5022.6
100,2019-04-11,5022.6,POSITIF,86.74%,✓,5264.7
107,2019-04-18,5264.7,NEGATIF,28.13%,✓,5209.1
114,2019-04-25,5209.1,POSITIF,96.60%,✓,5493.8
121,2019-05-02,5493.8,POSITIF,94.04%,✓,6191.5
128,2019-05-09,6191.5,POSITIF,89.49%,✓,7871.8
135,2019-05-16,7871.8,NEGATIF,32.89%,✓,7852.1
142,2019-05-23,7852.1,POSITIF,94.63%,✓,8271.9
149,2019-05-30,8271.9,NEGATIF,17.25%,✓,7784.9
156,2019-06-06,7784.9,POSITIF,92.47%,✓,8219
163,2019-06-13,8219,POSITIF,91.07%,✓,9517
170,2019-06-20,9517,POSITIF,72.52%,✓,11287.8
177,2019-06-27,11287.8,NEGATIF,25.05%,✓,11163.1
184,2019-07-04,11163.1,POSITIF,56.48%,✓,11342.3
191,2019-07-11,11342.3,NEGATIF,28.13%,✓,10651.4
198,2019-07-18,10651.4,NEGATIF,26.73%,✓,9945.3
205,2019-07-25,9945.3,POSITIF,65.72%,✓,10380
212,2019-08-01,10380,NEGATIF,49.85%,✗,12191.6
219,2019-08-08,12191.6,NEGATIF,25.54%,✓,10303.4
226,2019-08-15,10303.4,NEGATIF,31.16%,✓,10105
233,2019-08-22,10105,NEGATIF,23.22%,✓,9491
240,2019-08-29,9491,POSITIF,69.49%,✓,10566.9
