,Tanggal,Harga Penutupan,Prediksi,Probabilitas,Benar,Harga Minggu Depan
30,2019-01-31,3437.2,POSITIF,55.56%,✗,3397.7
37,2019-02-07,3397.7,POSITIF,55.23%,✓,3592.6
44,2019-02-14,3592.6,POSITIF,56.64%,✓,3936.6
51,2019-02-21,3936.6,POSITIF,57.03%,✗,3816.6
58,2019-02-28,3816.6,POSITIF,56.73%,✓,3875.1
65,2019-03-07,3875.1,POSITIF,55.71%,✓,3879
72,2019-03-14,3879,POSITIF,56.42%,✓,3982.2
79,2019-03-21,3982.2,POSITIF,56.80%,✓,4025.6
86,2019-03-28,4025.6,POSITIF,56.63%,✓,4902.4
93,2019-04-04,4902.4,POSITIF,55.75%,✓,5022.6
100,2019-04-11,5022.6,POSITIF,56.47%,✓,5264.7
107,2019-04-18,5264.7,POSITIF,55.73%,✗,5209.1
114,2019-04-25,5209.1,POSITIF,56.43%,✓,5493.8
121,2019-05-02,5493.8,POSITIF,56.15%,✓,6191.5
128,2019-05-09,6191.5,POSITIF,56.65%,✓,7871.8
135,2019-05-16,7871.8,POSITIF,55.20%,✗,7852.1
142,2019-05-23,7852.1,POSITIF,55.29%,✓,8271.9
149,2019-05-30,8271.9,POSITIF,55.27%,✗,7784.9
156,2019-06-06,7784.9,POSITIF,56.29%,✓,8219
163,2019-06-13,8219,POSITIF,55.87%,✓,9517
170,2019-06-20,9517,POSITIF,56.21%,✓,11287.8
177,2019-06-27,11287.8,POSITIF,56.62%,✗,11163.1
184,2019-07-04,11163.1,POSITIF,55.89%,✓,11342.3
191,2019-07-11,11342.3,POSITIF,56.27%,✗,10651.4
198,2019-07-18,10651.4,POSITIF,56.16%,✗,9945.3
205,2019-07-25,9945.3,POSITIF,55.83%,✓,10380
212,2019-08-01,10380,POSITIF,55.41%,✓,12191.6
219,2019-08-08,12191.6,POSITIF,55.51%,✗,10303.4
226,2019-08-15,10303.4,POSITIF,56.30%,✗,10105
233,2019-08-22,10105,POSITIF,54.63%,✗,9491
240,2019-08-29,9491,POSITIF,55.88%,✓,10566.9
247,2019-09-05,10566.9,POSITIF,55.70%,✗,10415.1
254,2019-09-12,10415.1,POSITIF,56.30%,✗,10250.5
261,2019-09-19,10250.5,POSITIF,55.18%,✗,8063.8
268,2019-09-26,8063.8,POSITIF,55.09%,✓,8226.9
275,2019-10-03,8226.9,POSITIF,54.67%,✓,8562.3
282,2019-10-10,8562.3,POSITIF,56.50%,✗,8073.3
289,2019-10-17,8073.3,POSITIF,55.49%,✗,7422.7
296,2019-10-24,7422.7,POSITIF,54.65%,✓,9152.6
303,2019-10-31,9152.6,POSITIF,55.23%,✓,9223.5
310,2019-11-07,9223.5,POSITIF,56.64%,✗,8661.2
317,2019-11-14,8661.2,POSITIF,55.18%,✗,7627.9
324,2019-11-21,7627.9,POSITIF,55.56%,✗,7426.7
331,2019-11-28,7426.7,POSITIF,55.19%,✗,7399.2
338,2019-12-05,7399.2,POSITIF,55.85%,✗,7208
345,2019-12-12,7208,POSITIF,55.64%,✗,7165.5
352,2019-12-19,7165.5,POSITIF,55.59%,✓,7210.9
359,2019-12-26,7210.9,POSITIF,55.85%,✗,6967
366,2020-01-02,6967,POSITIF,55.70%,✓,7842.4
373,2020-01-09,7842.4,POSITIF,55.87%,✓,8726.9
380,2020-01-16,8726.9,POSITIF,55.98%,✗,8405.1
387,2020-01-23,8405.1,POSITIF,56.26%,✓,9507.3
394,2020-01-30,9507.3,POSITIF,55.63%,✓,9772
401,2020-02-06,9772,POSITIF,56.63%,✓,10235.1
408,2020-02-13,10235.1,POSITIF,56.19%,✗,9602.4
415,2020-02-20,9602.4,POSITIF,55.70%,✗,8818.6
422,2020-02-27,8818.6,POSITIF,55.58%,✓,9060.3
429,2020-03-05,9060.3,POSITIF,55.39%,✗,4826
436,2020-03-12,4826,POSITIF,60.48%,✓,6172
443,2020-03-19,6172,POSITIF,55.75%,✓,6725.1
450,2020-03-26,6725.1,POSITIF,56.57%,✓,6800.5
457,2020-04-02,6800.5,POSITIF,55.84%,✓,7289
464,2020-04-09,7289,POSITIF,54.45%,✗,7085.6
471,2020-04-16,7085.6,POSITIF,55.47%,✓,7488.5
478,2020-04-23,7488.5,POSITIF,54.88%,✓,8629
485,2020-04-30,8629,POSITIF,56.32%,✓,9979.8
492,2020-05-07,9979.8,POSITIF,55.85%,✗,9778.4
499,2020-05-14,9778.4,POSITIF,55.17%,✗,9059
506,2020-05-21,9059,POSITIF,55.66%,✓,9572.2
513,2020-05-28,9572.2,POSITIF,55.39%,✓,9794.4
520,2020-06-04,9794.4,POSITIF,55.84%,✗,9283.2
527,2020-06-11,9283.2,POSITIF,56.61%,✓,9388.1
534,2020-06-18,9388.1,POSITIF,55.01%,✗,9247.5
541,2020-06-25,9247.5,POSITIF,56.02%,✗,9085.1
548,2020-07-02,9085.1,POSITIF,55.62%,✓,9235.7
555,2020-07-09,9235.7,POSITIF,55.76%,✗,9135.3
562,2020-07-16,9135.3,POSITIF,55.84%,✓,9599.6
569,2020-07-23,9599.6,POSITIF,56.46%,✓,11096.2
576,2020-07-30,11096.2,POSITIF,56.44%,✓,11757.1
583,2020-08-06,11757.1,POSITIF,55.92%,✓,11770.9
590,2020-08-13,11770.9,POSITIF,55.63%,✓,11856.9
597,2020-08-20,11856.9,POSITIF,55.44%,✗,11327.4
604,2020-08-27,11327.4,POSITIF,55.72%,✗,10168.8
611,2020-09-03,10168.8,POSITIF,56.91%,✓,10339.7
618,2020-09-10,10339.7,POSITIF,54.78%,✓,10941.3
625,2020-09-17,10941.3,POSITIF,56.25%,✗,10739.4
632,2020-09-24,10739.4,POSITIF,55.77%,✗,10620.5
639,2020-10-01,10620.5,POSITIF,55.42%,✓,10924.1
646,2020-10-08,10924.1,POSITIF,55.84%,✓,11503
653,2020-10-15,11503,POSITIF,56.56%,✓,12974.6
660,2020-10-22,12974.6,POSITIF,56.57%,✓,13457.2
667,2020-10-29,13457.2,POSITIF,56.33%,✓,15587.1
674,2020-11-05,15587.1,POSITIF,56.13%,✓,16294.7
681,2020-11-12,16294.7,POSITIF,55.96%,✓,17803.5
688,2020-11-19,17803.5,POSITIF,55.87%,✗,17162
695,2020-11-26,17162,POSITIF,57.60%,✓,19433.3
702,2020-12-03,19433.3,POSITIF,55.54%,✗,18247.2
709,2020-12-10,18247.2,POSITIF,56.38%,✓,22825.4
716,2020-12-17,22825.4,POSITIF,56.10%,✓,23736.5
